Kod,S,Saat,Home,Away,1,0,2,Altı,Üstü
454,F,21:45,M'GLADBACH,STUTTGART,1.45,3.40,4.60,2.30,1.30
455,F,21:45,HALLESCHER,HAMBURG,3.60,3.30,1.60,1.70,1.65
456,F,21:45,ST PAULI,HERTHA BERLİN,3.10,3.10,1.80,1.60,1.75
457,F,21:45,SPARTA ROTTERDAM,PSV EINDHOVEN,7.00,4.00,1.25,,
458,F,21:45,ST PATRICKS,DUNDALK,2.80,3.20,1.90,1.70,1.65
459,F,21:45,GENOA,AC MILAN,2.50,2.90,2.20,1.65,1.70
460,F,21:45,LECH POZNAN,WISLA KRAKOW,1.70,3.10,3.50,1.70,1.65
461,F,21:45,HAMILTON,ABERDEEN,5.00,3.50,1.40,1.70,1.65
462,F,21:45,LECH POZNAN (460),(451) NEWCASTLE UTD,2.30,3.50,2.10,,
463,F,21:45,LIVERPOOL (450),(454) M'GLADBACH,2.40,3.75,1.90,,
464,F,21:45,AC MILAN (459),(450) TOTTENHAM,2.00,3.20,2.55,,
465,F,22:00,NANTES,ANGERS,1.85,3.00,3.10,1.40,2.05
790,B,22:00,REAL MADRID,VITORIA,1.70,,1.70,1.70,1.70
466,F,00:15,OESTE,LUVERDENSE,1.80,3.10,3.10,,
467,F,02:00,AUDAX ITALIANO,SL QUILLOTA,1.70,3.10,3.50,,
468,F,02:30,GOIAS,REGATAS,1.60,3.20,3.75,,
791,B,02:30,CLEVLAND,NEW YORK,1.70,,1.70,1.70,1.70
469,F,03:00,CERRO PORTENO,INDEPENDIENTE MED.,,,,,
862,B,03:00,CLEVLAND (791),(792) PORTLAND,1.70,,1.70,1.70,1.70
470,F,05:00,TOLUCA,QUERETARO,1.55,3.30,4.00,1.70,1.65
792,B,05:00,PORTLAND,UTAH,1.70,,1.70,1.70,1.70
852,B,05:00,PORTLAND,UTAH,,,,,
793,B,05:30,GOLDEN STATE,SAN ANTONIO,1.70,,1.70,1.70,1.70
471,F,12:00,İNEGÖLSPOR,SARIYER,,,,,
472,F,13:30,GÜMÜŞHANESPOR,ANADOLU SELÇUKSPOR,,,,,
473,F,14:15,ÇORUM BLD.SPOR,TRABZONSPOR,,,,,
474,F,14:30,B.ÇEKMECE TEPECİKSPOR,ŞANLIURFASPOR,,,,,
475,F,14:30,KIRKLARELİSPOR,GAZİANTEP B.Ş. BLD.SPOR,,,,,
476,F,15:00,PANIONIOS,LEVADIAKOS,1.60,3.20,3.75,,
477,F,15:00,PAS GIANNINA,XANTHI,2.10,2.70,2.80,,
478,F,15:00,AFYONSPOR,ÜMRANİYESPOR,,,,,
479,F,15:00,BALIKESİRSPOR,DARICA GENÇLERBİRLİĞİ,,,,,
480,F,15:00,BOLUSPOR,ELAZİZ BLD.SPOR,,,,,
481,F,15:00,SAMSUNSPOR,MENEMEN BLD.SPOR,,,,,
482,F,15:00,SİVASSPOR,BUGSAŞSPOR,,,,,
794,B,15:00,DYNAMO NOVOSIBIRSK (B),CANİK BLD (B),1.70,,1.70,,
707,V,16:00,İNEGÖL BLD,HALKBANK,,,,,
708,V,16:00,MSK URFA,BLD PLEVNE,,,,,
483,F,16:30,MLADA BOLESLAV,HRADEC KRALOVE,,,,,
484,F,16:30,ZLIN,SPARTA PRAG,,,,,
485,F,16:30,AKHİSAR BLD.G.SPOR,NAZİLLİ BLD.SPOR,,,,,
486,F,16:30,ERZURUM BŞB.SPOR,TUZLASPOR,,,,,
487,F,17:00,AMKAR,URAL,1.90,2.80,3.20,1.30,2.30
709,V,17:00,GALATASARAY,MALİYE PİYANGO,,,,,
488,F,17:15,ATROMITOS,PANETOLIKOS,1.70,3.10,3.50,,
489,F,17:15,PAOK,LARISA,1.25,4.00,7.00,,
490,F,17:30,ST POLTEN,STURM GRAZ,3.75,3.50,1.55,,
491,F,18:00,INTER ZAPRESIC,CIBALIA,1.55,3.30,4.00,,
492,F,18:00,BRNO,JIHLAVA,,,,,
493,F,18:00,KARVINA,SLOVAN LIBEREC,2.50,2.90,2.20,1.60,1.75
494,F,18:00,MOREIRENSE,ESTORIL,2.20,2.90,2.50,,
795,B,18:00,ABDULLAH GÜL ÜNİV. (B),PINKK PECSI 424 (B),1.70,,1.70,,
710,V,18:30,ARKASSPOR,AFYON BLD,,,,,
711,V,18:30,FENERBAHÇE,İSTANBUL BŞB,,,,,
796,B,18:30,MERSİN BŞB (B),LATTES MONTPELLIER (B),1.70,,1.70,1.70,1.70
495,F,19:00,TEREK,UFA,1.75,2.90,3.50,1.25,2.50
496,F,19:00,DYNAMO KIEV,ZORIA LUHANSK,1.20,4.30,8.00,,
797,B,19:00,AVTODOR,KATAJA JOENSUU,1.70,,1.70,1.70,1.70
798,B,19:00,BEŞİKTAŞ,PARTIZAN,1.70,,1.70,1.70,1.70
799,B,19:00,CANARIAS,KK MORNAR BAR,1.70,,1.70,1.70,1.70
800,B,19:00,NYMBURK,IRONI NAHARIA,1.70,,1.70,1.70,1.70
801,B,19:00,SZOLNOKI OLAJ,SASSARI,1.70,,1.70,1.70,1.70
802,B,19:00,BC LIETKABELIS,NIZHNY NOVGOROD,1.70,,1.70,1.70,1.70
803,B,19:00,GAZİANTEP BASKETBOL,U BT CLUJ NAPOCA,1.70,,1.70,,
497,F,19:30,ASTORIA WALLDORF,DARMSTADT,6.25,3.75,1.30,1.85,1.50
498,F,19:30,GREUTHER FURTH,MAINZ,3.10,3.10,1.80,1.75,1.60
499,F,19:30,HANNOVER,FORTUNA DUSSELDORF,1.65,3.30,3.40,1.70,1.65
500,F,19:30,HEIDENHEIM,WOLFSBURG,3.40,3.30,1.65,1.75,1.60
501,F,19:30,OLYMPIAKOS,PLATANIAS,1.05,6.25,12.50,,
502,F,19:30,SHAKHTAR DONETSK,OLEKSANDRIA,1.05,6.25,12.50,,
503,F,19:30,B.DORTMUND (528),(502) SHAKHTAR DONETSK,1.80,5.00,2.25,,
804,B,19:30,ZIELONA GORA,LUDWIGSBURG,1.70,,1.70,1.70,1.70
504,F,20:00,ELFSBORG,NORRKOPING,1.95,3.20,2.70,,
505,F,20:00,FALKENBERG,MALMÖ,10.00,5.50,1.10,,
506,F,20:00,KALMAR,GEFLE,1.60,3.30,3.60,,
507,F,20:00,OSTERSUNDS,HAMMARBY,2.00,3.00,2.70,,
