Kod,S,Saat,Home,Away,1,0,2,Altı,Üstü
667,B,04:00,UTAH,LOS ANGELES L,1.70,,1.70,1.70,1.70
668,B,04:30,NEW ORLEANS,GOLDEN STATE,1.70,,1.70,1.70,1.70
189,F,05:00,VERACRUZ,PUMAS UNAM,2.40,2.90,2.30,1.70,1.65
190,F,08:00,FC TOKYO,SENDAI,1.85,3.10,3.00,1.70,1.65
191,F,08:00,GAMBA OSAKA,NIIGATA,1.80,3.10,3.10,1.70,1.65
192,F,08:00,HIROSHIMA,AVISPA FUKUOKA,1.20,4.30,8.00,2.05,1.40
193,F,08:00,IWATA,URAWA,4.60,3.40,1.45,1.95,1.45
194,F,08:00,KASHIMA,KAWASAKI,2.20,3.00,2.40,2.05,1.40
195,F,08:00,KASHIWA,OMIYA,1.90,3.20,2.80,1.80,1.55
196,F,08:00,SAGAN TOSU,YOKOHAMA MARINOS,2.50,2.90,2.20,1.60,1.75
197,F,08:00,SHONAN,KOFU,3.60,3.30,1.60,1.55,1.80
198,F,08:00,VISSEL KOBE,NAGOYA,2.10,2.90,2.60,1.85,1.50
199,F,09:35,NEWCASTLE JETS,SYDNEY,3.75,3.50,1.55,,
200,F,11:50,WESTERN SYDNEY,CC MARINERS,1.30,3.75,6.25,,
865,V,12:00,KARAYOLLARI (B),GÜMÜŞHANE G.BİRLİĞİ (B),,,,,
201,F,13:00,BOLUSPOR,GAZİANTEP B.Ş. BLD.SPOR,1.70,3.20,3.30,1.60,1.75
669,B,13:00,İSTANBULGÜCÜ (B),HACI BEKTAŞ VELİ ÜNİV. (B),1.70,,1.70,,
105,F,13:30,GAZİANTEPSPOR,OSMANLISPOR,2.80,3.10,1.90,1.60,1.75
202,F,13:30,CİZRESPOR,BEYLERBEYİ,1.20,3.50,5.50,,
203,F,13:30,OSMANLISPOR (105),(106) SEVILLA,2.40,3.50,2.00,,
106,F,14:00,SPORTING GIJON,SEVILLA,3.30,3.20,1.70,1.75,1.60
204,F,14:00,GREUTHER FURTH,KAISERSLAUTERN,2.00,3.00,2.70,1.60,1.75
205,F,14:00,UNION BERLIN,FORTUNA DUSSELDORF,1.85,3.10,3.00,1.75,1.60
206,F,14:00,ABERDEEN,CELTIC,4.00,3.30,1.55,1.85,1.50
207,F,14:00,BAYBURT GR.ÖZ.İD. GENÇLİK,KARTALSPOR,2.25,3.10,1.85,,
208,F,14:00,ERZİN BLD.SPOR,SANCAKTEPE BLD.SPOR,2.65,3.10,1.65,,
209,F,14:00,VAN BŞB.SPOR,KOZAN BLD.SPOR,1.70,3.10,2.55,,
210,F,14:00,OLIMPIK DONETSK,VOLYN LUTSK,1.55,3.30,4.00,,
670,B,14:00,ORDUSPOR (B),ANADOLU ÜNİVERSİTESİ (B),1.70,,1.70,,
671,B,14:00,MBK DOĞUŞ (B),GİRNE ÜNİV. (B),1.70,,1.70,,
672,B,14:00,OSMANİYE GENÇLİK (B),BOTAŞ (B),1.70,,1.70,,
866,V,14:00,AFYON BLD,BLD PLEVNE,,,,,
867,V,14:00,HALKBANK,MSK URFA,,,,,
211,F,14:15,BARROW,EASTLEIGH,1.90,3.00,2.90,,
107,F,14:30,SUNDERLAND,ARSENAL,5.50,4.60,1.25,2.15,1.35
212,F,14:30,ANKARA DEMİRSPOR,24ERZİNCANSPOR,1.75,3.10,2.45,,
213,F,14:30,ARSENAL (107),(123) B.DORTMUND,2.15,4.00,2.10,,
214,F,15:00,OXFORD,MILLWALL,2.40,3.00,2.20,1.65,1.70
215,F,15:00,CHEMNITZER,WERDER BREMEN (AMT),1.40,3.50,5.00,1.70,1.65
216,F,15:00,ERFURT,WEHEN,2.20,2.80,2.60,1.50,1.85
217,F,15:00,FSV FRANKFURT,PADERBORN,1.85,3.00,3.10,1.70,1.65
218,F,15:00,HALLESCHER,OSNABRUCK,1.85,3.00,3.10,1.55,1.80
219,F,15:00,HANSA ROSTOCK,MAINZ (AMT),1.50,3.30,4.30,1.70,1.65
220,F,15:00,PREUSSEN MUNSTER,HOLSTEIN KIEL,2.70,2.80,2.10,1.45,1.95
221,F,15:00,REGENSBURG,MAGDEBURG,2.00,2.90,2.80,1.60,1.75
222,F,15:00,SONNENHOF GROSSASPACH,DUISBURG,2.20,2.90,2.50,1.60,1.75
223,F,15:00,SPORTFREUNDE LOTTE,FORTUNA KÖLN,1.65,3.30,3.40,1.70,1.65
224,F,15:00,LARISA,PANIONIOS,2.40,2.40,2.70,,
225,F,15:00,DEGERFORS,SYRIANSKA,1.90,3.20,2.80,1.60,1.75
226,F,15:00,KARACABEY BİRLİKSPOR,ALTAY,2.15,3.10,1.95,,
227,F,15:00,KÜTAHYASPOR,ÇORUM BLD.SPOR,2.45,3.10,1.75,,
228,F,15:00,MANAVGATSPOR,KIZILCABÖLÜKSPOR,1.80,3.10,2.35,,
229,F,15:00,TEKİRDAĞSPOR,GÖLCÜKSPOR,1.65,3.10,2.65,,
673,B,15:00,GALATASARAY (B),MERSİN BŞB (B),1.70,,1.70,,
868,V,15:00,BURSASPOR (B),ARKASSPOR (B),,,,,
230,F,15:30,AMKAR,ROSTOV,2.40,2.40,2.70,1.25,2.50
674,B,15:30,İZMİT BLD (B),BORNOVA BECKERSPOR (B),1.70,,1.70,,
675,B,15:30,PARMA PERMSKY KRAY,ENISEY KRASNOYARSK,1.70,,1.70,1.70,1.70
108,F,16:00,BURSASPOR,KONYASPOR,1.90,3.10,2.80,1.70,1.65
231,F,16:00,INTER ZAPRESIC,DINAMO ZAGREB,9.00,4.75,1.15,,
232,F,16:00,SPARTA PRAG,PRIBRAM,1.05,6.25,12.50,,
233,F,16:00,AUXERRE,CHAMOIS NIORTAIS,2.00,2.80,2.90,1.45,1.95
234,F,16:00,CLERMONT,AMIENS,2.10,2.70,2.80,1.45,1.95
235,F,16:00,SOCHAUX,STRASBOURG,1.90,2.80,3.20,1.30,2.30
236,F,16:00,BARI,PRO VERCELLI,1.55,3.30,4.00,1.55,1.80
237,F,16:00,BENEVENTO,SPEZIA,2.00,2.90,2.80,1.45,1.95
238,F,16:00,CARPI,ASCOLI PICCHIO,1.40,3.50,5.00,1.55,1.80
239,F,16:00,CITTADELLA,LATINA,1.65,3.20,3.60,1.50,1.85
240,F,16:00,FROSINONE,CESENA,1.85,3.00,3.10,1.45,1.95
241,F,16:00,SALERNITANA,PISA,1.80,3.00,3.20,1.40,2.05
242,F,16:00,TERNANA,NOVARA,2.60,2.60,2.30,1.35,2.15
243,F,16:00,VIRTUS ENTELLA,BRESCIA,1.80,2.90,3.30,1.60,1.75
244,F,16:00,BURSASPOR (108),(111) MAINZ,2.20,3.40,2.20,,
676,B,16:00,TED ANKARA KOLEJLİLER,İSTANBUL BBSK,1.70,,1.70,1.70,1.70
677,B,16:00,ABDULLAH GÜL ÜNİV. (B),BEŞİKTAŞ (B),1.70,,1.70,,
678,B,16:00,ADANA ASKİ (B),CANİK BLD (B),1.70,,1.70,,
679,B,16:00,NIZHNY NOVGOROD,LOKOMOTIV KUBAN,1.70,,1.70,1.70,1.70
772,B,16:00,TED ANKARA KOLEJLİLER,İSTANBUL BBSK,,,,,
869,V,16:00,ARKASSPOR,BEŞİKTAŞ,,,,,
870,V,16:00,ZİRAAT BANKASI,FENERBAHÇE,,,,,
109,F,16:30,AUGSBURG,B.MÜNİH,8.00,6.25,1.10,2.05,1.40
110,F,16:30,DARMSTADT,RB LEIPZIG,4.30,3.30,1.50,1.65,1.70
111,F,16:30,MAINZ,INGOLSTADT,1.90,3.20,2.80,1.65,1.70
112,F,16:30,WERDER BREMEN,FREIBURG,2.10,3.10,2.50,1.95,1.45
113,F,16:30,WOLFSBURG,B.LEVERKUSEN,2.50,3.10,2.10,1.80,1.55
245,F,16:30,GORNIK LECZNA,SLASK WROCLAW,2.20,2.80,2.60,1.50,1.85
246,F,16:30,B.MÜNİH (109),(119) REAL MADRID,2.25,4.50,1.85,,
114,F,17:00,MANCHESTER UTD,BURNLEY,1.05,7.00,10.00,2.05,1.40
115,F,17:00,MIDDLESBROUGH,BOURNEMOUTH,2.20,2.90,2.50,1.55,1.80
116,F,17:00,TOTTENHAM,LEICESTER,1.45,3.40,4.60,1.80,1.55
117,F,17:00,WATFORD,HULL,1.60,3.30,3.60,1.70,1.65
118,F,17:00,WEST BROMWICH,MANCHESTER CITY,6.25,3.75,1.30,1.85,1.50
247,F,17:00,ADMIRA WACKER,RAPID WIEN,4.60,3.40,1.45,1.85,1.50
248,F,17:00,LYNGBY,RANDERS,2.40,2.90,2.30,1.45,1.95
249,F,17:00,ALDERSHOT,GUISELEY,1.45,3.40,4.60,,
250,F,17:00,BOREHAM WOOD,WOKING,1.60,3.30,3.60,,
251,F,17:00,BRAINTREE,SOLIHULL MOORS,1.85,3.10,3.00,,
252,F,17:00,CHESTER,LINCOLN,2.60,2.90,2.10,,
253,F,17:00,DOVER ATHLETIC,TRANMERE,2.50,2.90,2.20,,
254,F,17:00,FOREST GREEN,DAGENHAM & RED,1.65,3.20,3.60,,
255,F,17:00,GATESHEAD,WREXHAM,1.80,3.20,3.00,,
256,F,17:00,MAIDSTONE UTD,MACCLESFIELD,2.60,2.90,2.10,,
257,F,17:00,NORTH FERRIBY UTD,BROMLEY,3.00,3.10,1.85,,
258,F,17:00,TORQUAY,SOUTHPORT,1.65,3.20,3.60,,
259,F,17:00,YORK,SUTTON UTD,2.50,2.90,2.20,,
260,F,17:00,AFC WIMBLEDON,BRADFORD,2.40,3.00,2.20,1.50,1.85
